rule,activation_rate,global_rate,dominance
"DOTCOM POSTAGE, SKULL SHOULDER BAG → SUKI  SHOULDER BAG",0.2593192,0.007871183,32.94539
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY",72.372475,2.2153971,32.667946
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER BASIL",68.40275,2.0938797,32.667946
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER MINT",68.47329,2.096039,32.667946
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME",72.060555,2.206013,32.665516
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER BASIL",67.813065,2.0759833,32.665516
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER MINT",68.244064,2.0891776,32.665516
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",68.29779,2.1094844,32.376534
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER BASIL",66.20435,2.0448258,32.376526
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER THYME",68.23169,2.107443,32.376526
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",67.636925,2.1077251,32.09001
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER THYME",67.93104,2.1168904,32.09001
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER MINT",65.9806,2.0561104,32.090008
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY",68.8678,2.2041018,31.245289
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY",68.677895,2.1980247,31.245277
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER BASIL",65.33992,2.0911937,31.245274
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY",66.69122,2.1354544,31.23046
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY",67.937164,2.1753495,31.23046
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER MINT",63.515205,2.0337584,31.230457
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER MINT",64.97012,2.1126482,30.75293
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER PARSLEY",68.48067,2.2268016,30.752926
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER BASIL",65.93337,2.143971,30.752922
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",66.747,2.1929939,30.436474
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME",66.86679,2.1969302,30.436466
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER BASIL",64.90209,2.1323795,30.436464
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME",66.6221,2.1904361,30.414993
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",65.11718,2.1409569,30.41499
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER MINT",63.719845,2.0950153,30.414978
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER ROSEMARY",64.33029,2.1549923,29.85175
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER PARSLEY",64.131294,2.1483266,29.851744
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER THYME",62.882587,2.1064966,29.85174
"DOTCOM POSTAGE, SUKI  SHOULDER BAG → SKULL SHOULDER BAG",0.2136097,0.012966853,16.473518
"DOTCOM POSTAGE, JAM MAKING SET PRINTED → SUKI  SHOULDER BAG",0.21090096,0.012802435,16.473503
"GREEN REGENCY TEACUP AND SAUCER, SUKI  SHOULDER BAG → DOTCOM POSTAGE",1.0329866,0.08778247,11.767572
"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.8263685,0.12539996,6.5898623
"GREEN REGENCY TEACUP AND SAUCER, JAM MAKING SET PRINTED → DOTCOM POSTAGE",2.214734,0.43431857,5.099331
"GREEN REGENCY TEACUP AND SAUCER, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.8727497,0.3808079,4.917833
