rule,activation_rate,global_rate,dominance
"DOTCOM POSTAGE, SKULL SHOULDER BAG → SUKI  SHOULDER BAG",0.24886277,0.007871183,31.61695
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY",69.45423,2.2153971,31.35069
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER BASIL",65.64457,2.0938797,31.350689
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER MINT",65.712265,2.096039,31.350687
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY",68.90447,2.1980247,31.34836
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY",69.09498,2.2041018,31.34836
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME",69.154884,2.206013,31.348358
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER BASIL",65.55549,2.0911937,31.348358
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER BASIL",65.07867,2.0759833,31.348358
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER MINT",65.49229,2.0891776,31.348358
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY",66.937935,2.1354544,31.345991
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY",68.188484,2.1753495,31.345991
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER MINT",63.750168,2.0337584,31.34599
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",65.543846,2.1094844,31.071026
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER THYME",65.48041,2.107443,31.07102
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER BASIL",63.534824,2.0448258,31.07102
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER MINT",65.13386,2.1126482,30.830431
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER PARSLEY",68.65325,2.2268016,30.83043
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER BASIL",66.09954,2.143971,30.830427
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",64.90963,2.1077251,30.79606
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER MINT",63.32009,2.0561104,30.796057
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER THYME",65.19188,2.1168904,30.796057
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",66.99391,2.1929939,30.549065
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME",67.11416,2.1969302,30.549063
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER BASIL",65.14219,2.1323795,30.549059
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME",66.895706,2.1904361,30.539904
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",65.38461,2.1409569,30.539902
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER MINT",63.981544,2.0950153,30.539894
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER ROSEMARY",64.648415,2.1549923,29.99937
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER THYME",63.19356,2.1064966,29.999367
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER PARSLEY",64.44844,2.1483266,29.999367
"DOTCOM POSTAGE, SUKI  SHOULDER BAG → SKULL SHOULDER BAG",0.2049964,0.012966853,15.809265
"DOTCOM POSTAGE, JAM MAKING SET PRINTED → SUKI  SHOULDER BAG",0.20239688,0.012802435,15.809249
"GREEN REGENCY TEACUP AND SAUCER, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.991334,0.08778247,11.293075
"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.7930472,0.12539996,6.324142
"GREEN REGENCY TEACUP AND SAUCER, JAM MAKING SET PRINTED → DOTCOM POSTAGE",2.12543,0.43431857,4.893712
"GREEN REGENCY TEACUP AND SAUCER, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.7972356,0.3808079,4.7195334
"CHARLOTTE BAG PINK POLKADOT, PACK OF 72 RETROSPOT CAKE CASES → WOODLAND CHARLOTTE BAG",1.460021,0.33859977,4.3119373
"JUMBO BAG RED RETROSPOT, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",1.276588,0.29990405,4.2566547
"BATHROOM METAL SIGN, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.2989894,0.3081009,4.216117
