rule,activation_rate
SET OF 3 WOODEN STOCKING DECORATION → SET OF 3 WOODEN TREE DECORATIONS,36.180717
SET OF 3 WOODEN TREE DECORATIONS → SET OF 3 WOODEN STOCKING DECORATION,34.5145
SET OF 3 WOODEN TREE DECORATIONS → SET OF 3 WOODEN SLEIGH DECORATIONS,33.312702
SET OF 3 WOODEN STOCKING DECORATION → SET OF 3 WOODEN SLEIGH DECORATIONS,32.957314
SET OF 3 WOODEN SLEIGH DECORATIONS → SET OF 3 WOODEN TREE DECORATIONS,27.109653
SET OF 3 WOODEN SLEIGH DECORATIONS → SET OF 3 WOODEN STOCKING DECORATION,25.585281
SET OF 3 WOODEN STOCKING DECORATION → SET OF 3 WOODEN HEART DECORATIONS,23.216757
SET OF 3 WOODEN TREE DECORATIONS → SET OF 3 WOODEN HEART DECORATIONS,23.0221
SET OF 3 WOODEN HEART DECORATIONS → SET OF 3 WOODEN TREE DECORATIONS,21.43436
SET OF 3 WOODEN HEART DECORATIONS → SET OF 3 WOODEN STOCKING DECORATION,20.620146
SET OF 3 WOODEN HEART DECORATIONS → SET OF 3 WOODEN SLEIGH DECORATIONS,19.453104
SET OF 3 WOODEN SLEIGH DECORATIONS → SET OF 3 WOODEN HEART DECORATIONS,17.003458
WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN TREE CHRISTMAS SCANDINAVIAN,14.076717
WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN,11.996022
"WOODEN HEART CHRISTMAS SCANDINAVIAN, WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN TREE CHRISTMAS SCANDINAVIAN",11.531665
WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN,10.461652
WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN TREE CHRISTMAS SCANDINAVIAN,10.190943
WOODEN TREE CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN,9.820958
"WOODEN HEART CHRISTMAS SCANDINAVIAN, WOODEN TREE CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN",8.924032
"WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN TREE CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN",8.466476
WOODEN TREE CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN,8.152754
CHRISTMAS CRAFT TREE TOP ANGEL → CHRISTMAS CRAFT WHITE FAIRY ,5.7766376
CHRISTMAS CRAFT LITTLE FRIENDS → CHRISTMAS CRAFT WHITE FAIRY ,5.7358985
CHRISTMAS CRAFT TREE TOP ANGEL → CHRISTMAS CRAFT LITTLE FRIENDS,5.5454783
CHRISTMAS CRAFT LITTLE FRIENDS → CHRISTMAS CRAFT TREE TOP ANGEL,5.434569
SET OF 12 FAIRY CAKE BAKING CASES → SET OF 6 SNACK LOAF BAKING CASES,5.171185
SET OF 12 FAIRY CAKE BAKING CASES → SET OF 12 MINI LOAF BAKING CASES,4.923944
SET OF 12 FAIRY CAKE BAKING CASES → SET OF 6 TEA TIME BAKING CASES,4.8821115
SMALL DOLLY MIX DESIGN ORANGE BOWL → SMALL CHOCOLATES PINK BOWL,4.6811733
SET OF 6 SNACK LOAF BAKING CASES → SET OF 12 MINI LOAF BAKING CASES,4.477636
SET OF 12 MINI LOAF BAKING CASES → SET OF 6 SNACK LOAF BAKING CASES,4.477636
SMALL MARSHMALLOWS PINK BOWL → SMALL CHOCOLATES PINK BOWL,4.410328
SMALL DOLLY MIX DESIGN ORANGE BOWL → SMALL MARSHMALLOWS PINK BOWL,4.3763523
FELTCRAFT CUSHION BUTTERFLY → FELTCRAFT CUSHION RABBIT,4.2073593
"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN → HAND WARMER SCOTTY DOG DESIGN",4.0694933
SET OF 12 MINI LOAF BAKING CASES → SET OF 6 TEA TIME BAKING CASES,4.0599155
PINK HAPPY BIRTHDAY BUNTING → BLUE HAPPY BIRTHDAY BUNTING,3.9798052
SET OF 6 SNACK LOAF BAKING CASES → SET OF 12 FAIRY CAKE BAKING CASES,3.9133291
JAM JAR WITH GREEN LID → JAM JAR WITH PINK LID,3.864004
BLUE HAPPY BIRTHDAY BUNTING → PINK HAPPY BIRTHDAY BUNTING,3.8067703
"HAND WARMER BIRD DESIGN, HAND WARMER SCOTTY DOG DESIGN → HAND WARMER OWL DESIGN",3.7269607
SET OF 12 MINI LOAF BAKING CASES → SET OF 12 FAIRY CAKE BAKING CASES,3.7262285
FELTCRAFT CUSHION RABBIT → FELTCRAFT CUSHION BUTTERFLY,3.5600736
SMALL MARSHMALLOWS PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL,3.529316
FLORAL FOLK STATIONERY SET → MODERN FLORAL STATIONERY SET,3.493031
REGENCY TEA PLATE PINK → REGENCY TEA PLATE GREEN ,3.4887385
CHILDRENS CUTLERY POLKADOT PINK → CHILDRENS CUTLERY POLKADOT BLUE,3.4881976
REGENCY SUGAR BOWL GREEN → REGENCY MILK JUG PINK ,3.4114943
FELTCRAFT CUSHION OWL → FELTCRAFT CUSHION RABBIT,3.3812697
PINK VINTAGE PAISLEY PICNIC BAG → SCANDINAVIAN PAISLEY PICNIC BAG,3.3575418
SET OF 6 TEA TIME BAKING CASES → SET OF 12 MINI LOAF BAKING CASES,3.3349307
FELTCRAFT PRINCESS LOLA DOLL → FELTCRAFT PRINCESS CHARLOTTE DOLL,3.2218676
FELTCRAFT PRINCESS CHARLOTTE DOLL → FELTCRAFT PRINCESS LOLA DOLL,3.2218676
SCANDINAVIAN PAISLEY PICNIC BAG → PINK VINTAGE PAISLEY PICNIC BAG,3.2049263
SMALL CHOCOLATES PINK BOWL → SMALL MARSHMALLOWS PINK BOWL,3.1754353
JAM JAR WITH PINK LID → JAM JAR WITH GREEN LID,3.1395035
POPPY'S PLAYHOUSE KITCHEN → POPPY'S PLAYHOUSE LIVINGROOM ,3.1070719
FLORAL FOLK STATIONERY SET → VINTAGE PAISLEY STATIONERY SET,3.0422964
SET OF 6 TEA TIME BAKING CASES → SET OF 12 FAIRY CAKE BAKING CASES,3.0348263
RED STRIPE CERAMIC DRAWER KNOB → RED SPOT CERAMIC DRAWER KNOB,3.0168166
REGENCY TEA PLATE PINK → REGENCY TEA PLATE ROSES ,3.0128515
RED SPOT CERAMIC DRAWER KNOB → BLUE SPOT CERAMIC DRAWER KNOB,2.8991406
RED SPOT CERAMIC DRAWER KNOB → WHITE SPOT RED CERAMIC DRAWER KNOB,2.8921707
POPPY'S PLAYHOUSE KITCHEN → POPPY'S PLAYHOUSE BEDROOM ,2.8706324
RED SPOT CERAMIC DRAWER KNOB → RED STRIPE CERAMIC DRAWER KNOB,2.8659759
BLUE STRIPE CERAMIC DRAWER KNOB → RED STRIPE CERAMIC DRAWER KNOB,2.7807233
RED STRIPE CERAMIC DRAWER KNOB → BLUE STRIPE CERAMIC DRAWER KNOB,2.7807233
RED STRIPE CERAMIC DRAWER KNOB → WHITE SPOT RED CERAMIC DRAWER KNOB,2.739439
SMALL CHOCOLATES PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL,2.7180996
BLUE STRIPE CERAMIC DRAWER KNOB → BLUE SPOT CERAMIC DRAWER KNOB,2.6934717
CHILDRENS CUTLERY POLKADOT BLUE → CHILDRENS CUTLERY POLKADOT PINK,2.6674457
RED STRIPE CERAMIC DRAWER KNOB → BLUE SPOT CERAMIC DRAWER KNOB,2.6097374
BLUE SPOT CERAMIC DRAWER KNOB → RED SPOT CERAMIC DRAWER KNOB,2.5939677
VINTAGE PAISLEY STATIONERY SET → MODERN FLORAL STATIONERY SET,2.581492
VINTAGE PAISLEY STATIONERY SET → FLORAL FOLK STATIONERY SET,2.5742514
WHITE SPOT BLUE CERAMIC DRAWER KNOB → BLUE SPOT CERAMIC DRAWER KNOB,2.5741494
BLUE SPOT CERAMIC DRAWER KNOB → WHITE SPOT BLUE CERAMIC DRAWER KNOB,2.5741494
FELTCRAFT CUSHION RABBIT → FELTCRAFT CUSHION OWL,2.5651004
"JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF → JUMBO BAG PEARS",2.5390706
REGENCY SUGAR BOWL GREEN → REGENCY TEAPOT ROSES ,2.5117295
WHITE SPOT RED CERAMIC DRAWER KNOB → RED SPOT CERAMIC DRAWER KNOB,2.435512
STRAWBERRY LUNCH BOX WITH CUTLERY → SKULL LUNCH BOX WITH CUTLERY ,2.3684714
BLUE SPOT CERAMIC DRAWER KNOB → BLUE STRIPE CERAMIC DRAWER KNOB,2.2894511
BLUE SPOT CERAMIC DRAWER KNOB → RED STRIPE CERAMIC DRAWER KNOB,2.2182765
WHITE SPOT RED CERAMIC DRAWER KNOB → RED STRIPE CERAMIC DRAWER KNOB,2.1915512
BATHROOM METAL SIGN → TOILET METAL SIGN,2.1841602
BATHROOM METAL SIGN → KITCHEN METAL SIGN,2.162413
MODERN FLORAL STATIONERY SET → FLORAL FOLK STATIONERY SET,2.1495569
TOILET METAL SIGN → BATHROOM METAL SIGN,2.0749524
KITCHEN METAL SIGN → BATHROOM METAL SIGN,2.0542924
SET/6 RED SPOTTY PAPER CUPS → SET/6 RED SPOTTY PAPER PLATES,1.930387
MODERN FLORAL STATIONERY SET → VINTAGE PAISLEY STATIONERY SET,1.8774486
SMALL HEART MEASURING SPOONS → LARGE HEART MEASURING SPOONS,1.8601888
SET/6 RED SPOTTY PAPER PLATES → SET/6 RED SPOTTY PAPER CUPS,1.5794077
LARGE HEART MEASURING SPOONS → SMALL HEART MEASURING SPOONS,1.4881508
"GREEN REGENCY TEACUP AND SAUCER, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.371429
SUKI  SHOULDER BAG → SKULL SHOULDER BAG,1.253789
"BATHROOM METAL SIGN, JUMBO BAG RED RETROSPOT → DOTCOM POSTAGE",1.2390361
"CHARLOTTE BAG PINK POLKADOT, PACK OF 72 RETROSPOT CAKE CASES → WOODLAND CHARLOTTE BAG",1.2378981
"JUMBO BAG RED RETROSPOT, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.9345978
SKULL SHOULDER BAG → SUKI  SHOULDER BAG,0.9118465
"JUMBO BAG RED RETROSPOT, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",0.811779
"JUMBO STORAGE BAG SUKI, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.79781276
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME",0.75289863
HERB MARKER ROSEMARY → HERB MARKER THYME,0.7444718
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",0.7358916
"GREEN REGENCY TEACUP AND SAUCER, JAM MAKING SET PRINTED → DOTCOM POSTAGE",0.72776085
HERB MARKER ROSEMARY → HERB MARKER PARSLEY,0.72643673
HERB MARKER ROSEMARY → HERB MARKER CHIVES ,0.7213024
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER MINT",0.72009987
HERB MARKER MINT → HERB MARKER CHIVES ,0.71901864
HERB MARKER MINT → HERB MARKER PARSLEY,0.71324277
HERB MARKER ROSEMARY → HERB MARKER BASIL,0.71046305
HERB MARKER BASIL → HERB MARKER ROSEMARY,0.71046305
HERB MARKER BASIL → HERB MARKER PARSLEY,0.7093286
"JUMBO STORAGE BAG SUKI, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",0.70415163
HERB MARKER ROSEMARY → HERB MARKER MINT,0.7039799
HERB MARKER MINT → HERB MARKER ROSEMARY,0.7039799
HERB MARKER BASIL → HERB MARKER THYME,0.7031605
